id;title;citations;year;authors;journal;abstract;keywords
11;Security in IoT-Enabled Digital Twins of Maritime Transportation Systems;26;2021;"Jun Liu; Chunlin Li; Jingpan Bai; Youlong Luo; Haibin Lv; Zhihan Lv";IEEE Transactions on Intelligent Transportation Systems;"The purposes are to explore the safety performance of the Maritime Transportation System (MTS) based on Digital Twins (DTs) Internet of Things (IoT) and develop maritime transportation towards intelligence and digitalization. Because the comprehensive operational security of modern MTS is not yet mature, historical transportation data of the Maritime Silk Road are acquired and preprocessed. Afterward, DTs are introduced, and relay nodes are added to data transmission paths to construct a maritime transportation DTs model based on relay cooperation IoT. Eventually, this model’s security performance is validated through simulation experiments. Relay security analysis suggests that interference information is a vital guarantee to assist in information non-disclosure, from which the constructed model can harvest energy to increase the data transmission power, thereby improving communication performance and secrecy rate. Outage probability analysis reveals that the simulated and the theoretical results are almost the same; moreover, given the system’s multi-hop paths in the same environment, the more the relays and the greater the fading index, the better the system performance and the lower the outage probability. Once the iterations reach a particular number, the node secrecy rate becomes optimal and cannot cause excessive burden to the system; besides, the power distribution can establish a new equilibrium when the nodes are in different locations, so that system security performance gets improved. The simulated value is closest to the actual result under 100% successful transmission probability and 0.01∼0.05 λ value. To sum up, the constructed maritime transportation DTs model presents extraordinary transmission and security performance, providing an experimental basis for intelligent and secure maritime transportation in the future.";Digital twins, maritime transportation system, Internet of Things, relay cooperation, maritime silk road
12;A Digital Twin of the Research Vessel Gunnerus for Lifecycle Services: Outlining Key Technologies;11;2022;"Houxiang Zhang; Guoyuan Li; Lars Ivar Hatledal; Yingguang Chu; André Ellefsen; Peihua Han; Pierre Major; Robert Skulsta";IEEE Robotics & Automation Magazine ;Digitalization has become a key aspect of making maritime industries more innovative, efficient, and fit for future operations. One of the most attractive aspects is the concept of digital twins , which refers to digital replicas of physical assets, processes, and systems that can be used as advanced tools for design, operation, and maintenance. This article introduces the development of the digital twin of the research vessel (RV) Gunnerus in Norway, which will be a significant scientific and operational achievement for the maritime industry, making efficient and safe offshore operations possible. It enables data exchange safely and easily among different subsystems, modules, and various applications. Thus, the twin ship can provide an integrated view of the ship’s various physical and behavioral aspects in different stages and allow simultaneous optimization of functional performance requirements. In addition, it enables advanced control and optimization, e.g., creating more reliable prediction for flexible objectives (time, output, emissions, fuel consumption), and executing day-ahead and long-term planning for operations. Several related applications are presented in the end to confirm the effectiveness of the digital twin ship system.;advanced tools,attractive aspects,concept ofdigital twins,digital replicas,digital twin ship system,digitalization,future operations,lifecycle services,maritime industry,offshore operations,operational achievement, outlining key technologies, physical assets, research vessel gunnerus, research vessel,Gunnerusin Norway, significant scientific achievement
13;Digital twin for ship life-cycle: A critical systematic review;17;2023;F. Mauro, A.A. Kana;Ocean Engineering;The focus on digitalisation in manufacturing is spreading to other industry fields, including large and complex objects like ships. Such interest introduces the concept of Digital Twins in supporting designers and operators through the whole ship-life cycle. However, the term Digital Twin is typically abused in the shipping industry, many times erroneously referring to any virtual version of a model-based system as a Digital Twin of the ship. The mutual data exchange between the physical and virtual environment, which is the basis of a true Digital Twin, is mostly missing, confusing a virtual model with a sophisticated living virtual environment. Few reviews are available in the literature for Digital Twins on ships. This systematic review proposes the identification of weaknesses and correlations between current Digital Twin applications in the maritime industry and other industry fields. Furthermore, the methodology applied here may be repeated in future studies to provide a fair and objective overview of the research advancements in the topic. The study highlighted how literature scarcely addresses the design and decommissioning phases, indicating that research should focus on these topics, especially concerning the design of future ships.;Digital twin, Ship life-cycle, Industry 4.0, Literature review, Digital transition
14;DIGITAL TWINS AT WORK IN MARITIME AND ENERGY;30;2017;Øyvind Smogeli;DNV-GL Feature;"It’s not just in maritime that my data and engineering
expert colleagues at DNV GL are advancing the concept
of a cloud-based digital twin. It’s an approach that could
revolutionize projects – from concept design right through
to decommissioning – across all the industries we serve.
The company believes that data smart asset solutions
are a key to improved business performance and risk
management, and the digital twin approach is central
to this next-generation offering. ";
15;A Standards-Based Digital Twin of an Experiment with a Scale Model Ship;18;2022;Ícaro Aragão Fonseca, Henrique Murilo Gaspar, Pedro Cardozo de Mello, Humberto Akira Uehara Sasaki;Computer-Aided Design;We propose the use of existing data standards and web technologies to modeling and development of digital twin ships. Our research provides an open framework that can be linked to services such as visualizations, simulations and remote control. The case study applies the standards-based framework to an experiment that involved a scale model ship equipped with a dynamic positioning system under artificial waves. The digital twin prototype illustrated the capability of mirroring and controlling the model’s position in real-time, and predicting motion responses across wave conditions via a web application. Thus, it closes the loop between test and design in the life cycle by allowing validation of results in comparison to empirical data during operation. The results from these experiments are used to discuss an expanded version of the digital twin for validation and optimization of motion response, as well as its implications to the system’s (ship) taxonomy and data management. The conclusion summarizes lessons when using the adopted standards, as well as challenges when scaling the approach to real life operations. Future research is proposed toward extending the standardization to more complex cases.;Digital twinSimulationData standardInternet of thingsShipRemote operations
16;Digital Transformation in Ship Operations and Management: Digital Twin Technology Applications;2;2022;Murat Selçuk Solmaz, Cihat Aşan, Aydın Şıhmantepe;Management Strategies for Sustainability, New Knowledge Innovation, and Personalized Products and Services;Many businesses around the world have begun to take advantage of digital technology in recent years. Making use of digital technology enables one to do things in less time, need fewer employees, reduce costs, use information and resources effectively, produce the most products with the least resources, and consequently, increase the profitability of the enterprises. The shipping sector is one of the building blocks of the maritime industry. It aims to increase its profitability by digitizing in today's increasingly competitive conditions. In recent years, digital twin (DT) technology has been used extensively for the digitalization of the sector. This chapter introduces the current and potential uses of DT technology in ship operations and management and gives an idea about how DT technology will create an opportunity to develop the shipping sector.;Digital Twin Technology, Ship Operations and Management, Digital Transformation, Internet of Things (IoT), Supply Chain Management
17;Ship digital twin architecture for optimizing sailing automation;1;2023;Omer Kemal Kinaci;Ocean Engineering;"A fully autonomous ship should be monitored in a digital environment to track its real-time response to the changes in its surroundings. It is commanded by a controller algorithm whose optimum parameters is subject to change with respect to the changes in the environment. The ship's response with respect to these variations in the controller parameters need to be tracked to develop a full understanding of the ship's autonomy. As such, it is believed that the digital twin of a ship is an essential component of the path to fully autonomous ships. Despite maritime institutions not giving the credit to it yet, the ship digital twin concept is expected to be one of the leading topics in marine engineering soon. In this study, we try to establish the ship digital twin concept in terms of navigation autonomy. The paper starts by introducing the path to full autonomy in seas and the need for the digital twin by defining this concept for ships. A maneuvering mathematical model is used to represent the physical ship. The details of the model and the controller algorithms are given next. The propeller and rudder models are first validated by free-running self-propulsion and turning circle tests. The ship considered in this study has a twisted rudder and does not possess course-keeping ability; therefore, it requires autopilot to move straight ahead. Three types of simulation cases are identified with one being the autopilot mode. In the other two cases, the ship is forced to conduct two hard maneuvers while accelerating/decelerating. Investigation of the generated results reveals the effectiveness of the digital twin architecture used in this study. It has also allowed us to conduct a controller stability analysis, which has shown the behavior of the controller gains to detect the most optimum values for the considered model ship.";Maritime digital twinAutonomous shipLevel 2 autonomyMaritime autonomous surface ships
18;New Trends on Digital Twin-Based Blockchain Technology in Zero-Emission Ship Applications;12;2021;"Zavareh, Bozorgasl; Foroozan, Hossein; Gheisarnejad, Meysam; Khooban, Mohammad-Hassan";Naval Engineers Journal;"Nowadays, with the widespread industrial use of digital data and relative maturity of the Internet of fiings (IoT), and data analytics (artificial intelligence (AI), machine learning (ML), and data visualization), we can design, customize, and implement plenty of systems which once were unimaginable. A combination of the mentioned fields leads to the emergence of new technology, i.e., Digital Twins (DT). The potentials of DT in different fields have changed the perspective of most academia/industry leaders around the world. The fundamental concept of DT lies in developing the living and intelligent model which faithfully mimics the physical system during the lifetime of the physical ones. Indeed, by co-evolving with the physical system, the DT can precisely explore the design flaws of the virtual environment and make quick changes, which will ameliorate the design, prevent tedious confirmation and experiments. In this review research, the principle definitions, architecture, and characteristics of DT as well as the enabling key technologies of this context are briefiy provided; after that, the ranges of applications of DT in manufacturing and industry will be presented. In particular, the evaluation details and challenges related to the zero-emission ships along with its DT model, which recently have been getting attention in academia, industry, and government, have been discussed. Eventually, the standardized application of blockchain technology, regarded as distributed ledger technology (DLT), will be introduced as a practical solution for data storage, data access, data sharing, data security, and data integrity in the DT.";"Blockchain; Digital Twins (DT); Internet of Things (IoT); Machine Learning (ML); Zero-emission Ship"
19;A Digital Twin enabled Maritime Networking Architecture;3;2022;"Zhen Wang; Bin Lin";2022 IEEE 95th Vehicular Technology Conference: (VTC2022-Spring);With the continuous increase of maritime activities and services, it is imperative to establish the “Smart Ocean” architecture, to promote more efficient and safe marine information dissemination with high quality of service provisioning. In this paper, we propose a digital twin (DT) assisted maritime networking architecture based on a comprehensive review of the maritime networks, where the roles and superiority of DT are emphasized with the consideration of the network heterogeneity and dynamics. We utilize the interaction between virtual and physical entities to improve the flexibility and adaptability of the network, aiming at more efficient maritime network resource management and optimization. We then discuss the main challenges and some potential research issues in DT-assisted marine network design. The proposed maritime networking architecture based on DT can provide a good reference for network planning and deployment of maritime networking architecture to adapt to different marine environments.;maritime network,digital twin,virtual simulation
20;Ship’s Digital Twin—A Review of Modelling Challenges and Applications;13;2022;Nur Assani ,Petar Matić and Marko Katalinić;Applied sciences;"Abstract
The Ship’s Digital Twin (SDT) is a digital record of a ship’s behaviour or a software clone, which can be used to simulate scenarios that are expensive or hardly feasible to perform on a real object and especially in real time. The purpose of the SDT is to achieve cost reduction, obtain timely warnings of irregularities, and optimise individual ship system performances or the operation of the whole ship and to assist ship management. The aim of this paper is to describe the concept of the SDT and clarify some perplexities that may occur from initial introduction to concept. To that end, the paper identifies the steps in the SDT formulation process and methods used in each step of the process. Furthermore, a four-step iterative procedure for the SDT development is proposed. The applications of the concept are numerous, and some of them are presented in a review analysis in this paper. The presented analysis leads to a conclusion that should give some direction to future research in this area.";"ship; digital twin; development procedure; modelling methods; applications; review analysis"
21;Towards Integrated Digital-Twins: An Application Framework for Autonomous Maritime Surface Vessel Development;3;2022;Minahil Raza,Hanna Prokopova,Samir Huseynzade,Sepinoud Azimi, Sebastien Lafond;Journal of Marine Science and Engineering;The use of digital twins for the development of Autonomous Maritime Surface Vessels (AMSVs) has enormous potential to resolve the increasing need for water-based navigation and safety at the sea. Aiming at the problem of lack of broad and integrated digital twin implementations with live data along with the absence of a digital twin-driven framework for AMSV design and development, an application framework for the development of a fully autonomous vessel using an integrated digital twin in a 3D simulation environment has been presented. Our framework has 4 layers which ensure that simulation and real-world vessel and the environment are as close as possible. Åboat, an in-house, experimental research platform for maritime automation and autonomous surface vessel applications, equipped with two trolling electric motors, cameras, LiDARs, IMU and GPS has been used as the case study to provide a proof of concept. Åboat, its sensors, and the environment have been replicated in a commercial, 3D simulation environment, AILiveSim. Using the proposed application framework, we develop obstacle detection and path planning systems based on machine learning which leverage live data from a 3D simulation environment to mirror the complex dynamics of the real world. Exploiting the proposed application framework, the rewards across training episodes of a Deep Reinforcement Learning model are evaluated for live simulated data in AILiveSim.;"maritime autonomy; autonomous ship; safety; digital twin; deep reinforcement learning; collision avoidance; situational awareness"
22;Taking Control of the Digital Twin;14;2017;"Marcus Bole; Gabriel Powell; Eric Rousseau";SNAME Maritime Convention (p. D023S004R002). SNAME.;"The rise of digital documentation has given the marine industry the ability to capture more information than ever about the ships and facilities we produce and operate. While this should make management of these assets more effective, the ease in which information can be created often means that we find ourselves unable to find the information we're searching for. As constituent engineering systems become more complex, integrated and autonomous the need to retain documentation that describes operation becomes necessary for efficient maintenance and resolving unforeseen situations. Digital Twin's address this challenge by retaining and publishing documentation, but a key principle is the efficient means to find data to ensure relevance and reduced searching time.

For several years, AVEVA has been exploiting the opportunity to link asset documentation together using contextual themes to create a connected dataset which allows quick identification of critical and related information. This has resulted in several Digital Twin interfaces that deploy information into different scenarios and devices, from handheld personal devices to large format screens for team decision support. Using these tools our customers can maintain their vessel, expose trends in data and provide insight into ways their asset may be changing over time.";software, interface, representation, information management, knowledge, artificial intelligence, documentation, aveva, browser, maintenance
23;Machine learning enhancement of manoeuvring prediction for ship Digital Twin using full-scale recordings;17;2022;Rasmus E. Nielsen, Dimitrios Papageorgiou, Lazaros Nalpantidis, Bugge T. Jensen, Mogens Blanke;Ocean Engineering;Digital Twins have much attention in the shipping industry, attempting to support all phases of a vessel’s life cycle. With several tools appearing in Digital Twin software suites, high-quality manoeuvring and performance prediction remain cornerstones. Propulsion efficiency is in focus while in service. Simulator-based training is in focus to ensure safety of manoeuvring in confined waters and harbours. Prediction of ships’ velocity and turn rate are essential for correct look and feel during training, but phenomena like dynamic inflow to propellers, bank and shallow water effects limit simulators’ accuracy, and master mariners often comment that simulations could be in better agreement with actual behaviours of their vessel. This paper focuses on digital twin enhancements to better match reality. Using data logged during in-service operation, we first consider a system identification perspective, employing a first-principles model structure. Showing that a complete first-principles model is not identifiable under the excitation met in service, we employ a Recurrent Neural Network to predict deviations between measured velocities and the model output. The outcome is a hybrid of a first-principles model with a machine learning generic approximator add-on. The paper demonstrates significant improvements in prediction accuracy of both in-harbour manoeuvring and shallow water passage conditions.;Digital Twin, Machine learning, Ship motion prediction, Ship performance prediction, System identification, Manoeuvring simulation, Manoeuvring model
24;Research on Basic Concept Design for Digital Twin Ship Platform;0;2022;Kyoungkuk Yoon, Jongsu Kim, Hyeonmin Jeon, Changkeun Lim;Journal of the Korean Society of Marine Environment and Safety;The International Maritime Organization is establishing international agreements on maritime safety and security to prepare for the introduction of autonomous ships. In Korea, the industry is focusing on autonomous navigation system technology development, and to reduce accidents involving coastal ships, research on autonomous ship technology application plans for coastal ships is in progress. Interest in autonomously operated ships is increasing worldwide, and maritime demonstrations for verification of developed technologies are being pursued. In this study, a basic investigation was conducted on the design of a demonstration ship and an onshore platform (remote support center) using digital twin technology for application to coastal ships. To apply digital twin technology, an 8-m small battery-powered electric propulsion ship was selected as the target. The basic design of the twin-integrated platform was developed. The ship navigation and operation data were stored on a server system, and remote-control commands of the electric propulsion ship was achieved through communication between the ship and the onshore platform. Ship performance management, operation and operation optimization, and predictive control are possible using this digital twin technology. This safe and economical digital twin technology is applicable to ships responding to crisis scenarios.;Autonomous ship, Digital twin, Denomstration ship, Onshore platform, Electric propulsion system
25;Developing a Digital Twin and Digital Thread Framework for an ‘Industry 4.0’ Shipyard;102;2021;Toh Yen Pang,Juan D. Pelaez Restrepo,Chi-Tsun Cheng,Alim Yasin, Hailey Lim,Miro Miletic;Applied Sciences;"This paper provides an overview of the current state-of-the-art digital twin and digital thread technology in industrial operations. Both are transformational technologies that have the advantage of improving the efficiency of current design and manufacturing. Digital twin is an important element of the Industry 4.0 digitalization process; however, the huge amount of data that are generated and collected by a digital twin offer challenges in handling, processing and storage. The paper aims to report on the development of a new framework that combines the digital twin and digital thread for better data management in order to drive innovation, improve the production process and performance and ensure continuity and traceability of information. The digital twin/thread framework incorporates behavior simulation and physical control components, in which these two components rely on the connectivity between the twin and thread for information flow and exchange to drive innovation. The twin/thread framework encompasses specifications that include organizational architecture layout, security, user access, databases and hardware and software requirements. It is envisaged that the framework will be applicable to enhancing the optimization of operational processes and traceability of information in the physical world, especially in an Industry Shipyard 4.0.";"digital twin; digital thread; framework; shipyard; industry 4.0"
26;Systems engineering and digital twin: a vision for the future of cruise ships design, production and operations;47;2019;Vincenzo Arrichiello & Paola Gualeni;International Journal on Interactive Design and Manufacturing (IJIDeM) ;Cruise ships are among the most complex and demanding products of the shipbuilding industry. The very special “payload” and exclusive operational profile, i.e. passengers looking for leisure and entertainment, imply outstanding performances in terms of safety standards and customer satisfaction. Attention to environment is relevant as well, since these ships are used to operate in spectacular marine ecosystems. The need of European shipyards to continuously progress to preserve the market leadership requires a virtuous evolution of the ship design process projected on a life cycle perspective. In this regard Systems Engineering appears to be a robust and reliable paradigm, able to provide the necessary comprehensive view of the cruise ship system as a whole together with a systematic methodological framework that, among the other advantages, enables the active and constructive participation of all the involved stakeholders in the decision-making process. In particular, Systems Engineering strongly relies on the so-called model-based engineering to share, integrate, combine and improve the level of details relevant to the system under development. In this paper the digital twin model will be discussed as a natural evolution of above-mentioned model-based engineering and its utilization in the shipbuilding field will be described as a very promising application especially in the field of cruise ships.;Digital twin, Systems engineering, Cruise vessels
27;A study of an Architecture of Digital Twin Ship with Mixed Reality;0;2022;Eun-Joo Lee, Geo-Hwa Kim, Jang Hwa-Sup;Journal of Navigation and Port Research ;As the 4th industrial revolution progresses, the application of several cutting-edge technologies such as the Internet of Things, big data, and mixed reality (MR) in relation to autonomous ships is being considered in the maritime logistics field. The aim of this study was to apply the concept of a digital twin model based on Human Machine Interaction (HMI) including a digital twin model and the role of an operator to a ship. The role of the digital twin is divided into information provision, support, decision, and implementation. The role of the operator is divided into operation, decision-making, supervision, and standby. The system constituting the ship was investigated. The digital twin system that could be applied to the ship was also investigated. The cloud-based digital twin system architecture that could apply investigated applications was divided into ship data collection (part 1), cloud system (part 2), analysis system/application (part 3), and MR/mobile system (part 4). A Mixed Reality device HoloLens was used as an HMI equipment to perform a simulation test of a digital twin system of an 8 m battery-based electric propulsion ship.;digital twin, autonomous ship, architecture, mixed reality, cloud system
28;Rapid acquisition method for structural strength evaluation stresses of the ship digital twin model;1;2023;Yuchao Liu, Huilong Ren;Ocean Engineering;The existing ship hull structure stress monitoring can only give the stress state of typical measuring points, but the monitoring point may not be the most dangerous location of the ship hull structure. To solve this problem, this paper carried out the research of ship strength digital twin. Concretely, to meet the real-time requirements for obtaining the structural stress state, this paper proposed a rapid acquisition method for structural strength evaluation stresses of the ship digital twin model, which realizes the rapid acquisition for structural yield strength evaluation stresses at the monitoring point and the non-monitoring point. To illustrate the specific application and application effect of the proposed method, the amidships three compartments section of a 21,000TEU ultra-large container ship was selected as the research object. And the case that this research object may suffer from the vertical wave bending moment and the horizontal wave bending moment simultaneously was considered. Related studies show that the proposed method can accurately recognize the load actually suffered by the ship monitoring structure. And the specific meaning of the ship monitoring structure referred to here is the ship hull structure that requires structural stress state monitoring. At the same time, related studies also show that the maximum error of the calculation results obtained by the proposed method does not exceed 0.0005% in obtaining the structural yield strength evaluation stress at the monitoring point, while the maximum calculation error does not exceed 0.032% in obtaining the structural yield strength evaluation stress at the non-monitoring point.;Ship digital twin model, Load recognition, Monitoring point and non-monitoring point, Structural strength evaluation stress, Rapid acquisition
29;A digital twin approach for maritime carbon intensity evaluation accounting for operational and environmental uncertainty;0;2023;Nikolaos Vasilikis, Rinze Geertsma, Andrea Coraddu ;Ocean Engineering;Maritime industry has set ambitious goals to drastically reduce its greenhouse gas emissions through stipulating and enforcing a number of energy assessment measures. Unfortunately, measures like the EEDI, EEXI, SEEMP and CII do not account for the operational and environmental uncertainty of operations at sea, even though they do provide a first means of evaluating the carbon footprint of ships. The increasing availability of high-frequency operational data offers the opportunity to quantify and account for this uncertainty in energy performance predictions. Current methods to evaluate and predict energy performance at a whole energy system level do not sufficiently account for operational and environmental uncertainty. In this work, we propose a digital twin that accurately predicts the fuel consumption and carbon footprint of the hybrid propulsion system of an Ocean-going Patrol Vessel (OPV) of the Royal Netherlands Navy under the aggregate effect of operational and environmental uncertainty. It combines first-principle steady-state models with machine learning algorithms to reach an accuracy of less than 5% MAPE on both mechanical and electrical propulsion, while bringing a 40% to 50% improvement over a model that does not utilise machine learning algorithms. Results over actual voyage intervals indicate a prediction accuracy of consumed fuel and carbon intensity within 2.5% accounting for a confidence interval of 95%. Finally, the direct comparison between mechanical and electrical propulsion showed no clear energy-saving benefits and a strong dependency of the results on each voyage’s specific operational and environmental conditions.;Digital twin, Carbon intensity, Operational uncertainties, Environmental uncertainties, Data-driven methods, Hybrid propulsion
